id,data de entrada,motivo de entrada,é transferência,código do abrigo,nome do animal,nome da raça,cor base,nome da espécie,sexo,data de movimentação,tipo de movimentação,data de retorno,motivo de retorno,data de falecimento,motivo de falecimento,morreu fora do abrigo,foi sacrificado,é DOA,idade (anos),classificacao da idade
47429,2017-02-18 00:00:00,Abandonado,0,C17021438,Ellen,SRD,Cinza,Gato,Fêmea,2017-04-26,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,11.75,Idoso
47510,2017-02-28 00:00:00,Abandonado,0,C17021519,Maureen,Doméstico de Pelo Curto,Marrom e Preto,Gato,Fêmea,2017-04-02,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,2.6666666666666665,Jovem
47511,2017-02-28 00:00:00,Abandonado,0,C17021520,Janet,SRD,Cinza,Gato,Fêmea,2017-04-01,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,4.166666666666667,Adulto
47520,2017-03-02 00:00:00,Abandonado,0,C17031529,Ruce,SRD,Preto e Branco,Gato,Macho,2017-04-04,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.0833333333333335,Adulto
47521,2017-03-02 00:00:00,Abandonado,0,C17031530,Ramsay,SRD,Laranja e Branco,Gato,Macho,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.0833333333333335,Adulto
47539,2017-03-04 00:00:00,Abandonado,0,C17031548,Zack Attack,SRD,Cinza e Branco,Gato,Macho,2017-04-01,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,4.75,Adulto
47540,2017-03-04 00:00:00,Abandonado,0,C17031549,Buggs,SRD,Preto,Gato,Macho,2017-04-01,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.0916666666666668,Jovem
47562,2017-03-06 00:00:00,Abandonado,0,C17031571,Garden,SRD,Branco,Gato,Macho,2017-03-31,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,6.666666666666666,Adulto
47595,2017-03-09 00:00:00,Proprietário falecido,0,C17031604,Zips,Doméstico de Pelo Curto,Preto e Branco,Gato,Fêmea,2017-06-16,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,8.666666666666668,Idoso
47617,2017-03-10 00:00:00,Abandonado,0,C17031624,Jesse,SRD,Cinza e Branco,Gato,Fêmea,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,5.666666666666666,Adulto
47627,2017-03-11 00:00:00,Abandonado,0,C17031634,Binks,SRD,Creme,Gato,Macho,2017-04-06,Lar temporário,2017-05-10,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47627,2017-03-11 00:00:00,Abandonado,0,C17031634,Binks,SRD,Creme,Gato,Macho,2017-05-14,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47628,2017-03-11 00:00:00,Abandonado,0,C17031635,Bobbin,SRD,Castanho Claro,Gato,Macho,2017-04-06,Lar temporário,2017-05-17,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47628,2017-03-11 00:00:00,Abandonado,0,C17031635,Bobbin,SRD,Castanho Claro,Gato,Macho,2017-05-18,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47629,2017-03-11 00:00:00,Abandonado,0,C17031636,Binkie,SRD,Creme,Gato,Macho,2017-04-06,Lar temporário,2017-05-17,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47629,2017-03-11 00:00:00,Abandonado,0,C17031636,Binkie,SRD,Creme,Gato,Macho,2017-05-18,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47630,2017-03-11 00:00:00,Abandonado,0,C17031637,Stan,SRD,Laranja,Gato,Macho,2017-04-06,Lar temporário,2017-04-18,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47630,2017-03-11 00:00:00,Abandonado,0,C17031637,Stan,SRD,Laranja,Gato,Macho,2017-04-18,Lar temporário,2017-05-10,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47630,2017-03-11 00:00:00,Abandonado,0,C17031637,Stan,SRD,Laranja,Gato,Macho,2017-05-16,Lar temporário,2017-06-15,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47630,2017-03-11 00:00:00,Abandonado,0,C17031637,Stan,SRD,Laranja,Gato,Macho,2017-06-15,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47631,2017-03-11 00:00:00,Abandonado,0,C17031638,Boomer,SRD,Laranja,Gato,Macho,2017-04-06,Lar temporário,2017-04-18,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47631,2017-03-11 00:00:00,Abandonado,0,C17031638,Boomer,SRD,Laranja,Gato,Macho,2017-04-18,Lar temporário,2017-05-10,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47631,2017-03-11 00:00:00,Abandonado,0,C17031638,Boomer,SRD,Laranja,Gato,Macho,2017-05-11,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47632,2017-03-11 00:00:00,Abandonado,0,C17031639,Evan,SRD,Marrom,Gato,Macho,2017-04-06,Lar temporário,2017-04-18,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47632,2017-03-11 00:00:00,Abandonado,0,C17031639,Evan,SRD,Marrom,Gato,Macho,2017-04-18,Lar temporário,2017-05-10,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47632,2017-03-11 00:00:00,Abandonado,0,C17031639,Evan,SRD,Marrom,Gato,Macho,2017-05-11,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47633,2017-03-11 00:00:00,Abandonado,0,C17031640,Beaux,SRD,Marrom e Preto,Gato,Fêmea,2017-04-06,Lar temporário,2017-05-11,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47633,2017-03-11 00:00:00,Abandonado,0,C17031640,Beaux,SRD,Marrom e Preto,Gato,Fêmea,2017-05-16,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.75,Jovem
47634,2017-03-11 00:00:00,Abandonado,0,C17031641,Dusty,Doméstico de Pelo Curto,Siamês,Gato,Fêmea,2017-04-06,Lar temporário,2017-05-02,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47634,2017-03-11 00:00:00,Abandonado,0,C17031641,Dusty,Doméstico de Pelo Curto,Siamês,Gato,Fêmea,2017-05-04,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47635,2017-03-11 00:00:00,Abandonado,0,C17031642,Ed,Doméstico de Pelo Curto,Preto e Branco,Gato,Macho,2017-04-06,Lar temporário,2017-05-02,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47635,2017-03-11 00:00:00,Abandonado,0,C17031642,Ed,Doméstico de Pelo Curto,Preto e Branco,Gato,Macho,2017-05-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47636,2017-03-11 00:00:00,Abandonado,0,C17031643,Tux,Doméstico de Pelo Curto,Preto e Branco,Gato,Macho,2017-04-06,Lar temporário,2017-05-02,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47636,2017-03-11 00:00:00,Abandonado,0,C17031643,Tux,Doméstico de Pelo Curto,Preto e Branco,Gato,Macho,2017-05-04,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47637,2017-03-11 00:00:00,Abandonado,0,C17031644,Trouble,Doméstico de Pelo Curto,Branco,Gato,Macho,2017-04-06,Lar temporário,2017-05-02,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47637,2017-03-11 00:00:00,Abandonado,0,C17031644,Trouble,Doméstico de Pelo Curto,Branco,Gato,Macho,2017-05-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47638,2017-03-11 00:00:00,Abandonado,0,C17031645,Samantha,Doméstico de Pelo Curto,Preto e Branco,Gato,Fêmea,2017-04-06,Lar temporário,2017-04-24,Animal de rua,,Falecido sob cuidados,0,0,0,4.666666666666666,Adulto
47638,2017-03-11 00:00:00,Abandonado,0,C17031645,Samantha,Doméstico de Pelo Curto,Preto e Branco,Gato,Fêmea,2017-05-06,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,4.666666666666666,Adulto
47659,2017-03-14 00:00:00,Abandonado,0,C17031666,Earl,Doméstico de Pelo Médio,Branco,Gato,Macho,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,2.333333333333333,Jovem
47661,2017-03-15 00:00:00,Abandonado,0,C17031668,Conner,Doméstico de Pelo Curto,Preto,Gato,Macho,2017-04-26,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.6666666666666665,Adulto
47684,2017-03-18 00:00:00,Abandonado,0,C17031691,Gabby (Sage),Doméstico de Pelo Curto,Cinza,Gato,Fêmea,2017-04-26,Lar temporário,2017-05-21,Animal de rua,,Falecido sob cuidados,0,0,0,16.666666666666668,Idoso
47684,2017-03-18 00:00:00,Abandonado,0,C17031691,Gabby (Sage),Doméstico de Pelo Curto,Cinza,Gato,Fêmea,2017-07-27,Lar temporário,2017-07-31,Animal de rua,,Falecido sob cuidados,0,0,0,16.666666666666668,Idoso
47684,2017-03-18 00:00:00,Abandonado,0,C17031691,Gabby (Sage),Doméstico de Pelo Curto,Cinza,Gato,Fêmea,2017-07-31,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,16.666666666666668,Idoso
47685,2017-03-18 00:00:00,Abandonado,0,C17031692,Suzette,Doméstico de Pelo Curto,Escama de tartaruga,Gato,Fêmea,2017-04-13,Adoção,2018-05-10,Mudança de residência,,Falecido sob cuidados,0,0,0,18.166666666666664,Idoso
47685,2017-03-18 00:00:00,Abandonado,0,C17031692,Suzette,Doméstico de Pelo Curto,Escama de tartaruga,Gato,Fêmea,2018-05-14,Transferência,,Animal de rua,,Falecido sob cuidados,0,0,0,18.166666666666664,Idoso
47688,2017-03-18 00:00:00,Abandonado,0,C17031695,Beyonce,Doméstico de Pelo Curto,Cinza e Branco,Gato,Fêmea,2017-03-20,Lar temporário,2017-04-17,Animal de rua,,Falecido sob cuidados,0,0,0,2.0833333333333335,Jovem
47688,2017-03-18 00:00:00,Abandonado,0,C17031695,Beyonce,Doméstico de Pelo Curto,Cinza e Branco,Gato,Fêmea,2017-04-26,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,2.0833333333333335,Jovem
47696,2017-03-20 00:00:00,Abandonado,0,C17031703,Pepsi,Doméstico de Pelo Curto,Cinza e Branco,Gato,Macho,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,2.6666666666666665,Jovem
47697,2017-03-21 00:00:00,Abandonado,0,C17031704,William,Doméstico de Pelo Curto,Castanho Claro,Gato,Macho,2017-04-21,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.6666666666666665,Adulto
47698,2017-03-21 00:00:00,Perdido/sem dono,0,C17031705,Amal Clooney,Doméstico de Pelo Curto,Preto,Gato,Fêmea,2017-03-26,Lar temporário,2017-05-15,Animal de rua,,Falecido sob cuidados,0,0,0,4.083333333333333,Adulto
47698,2017-03-21 00:00:00,Perdido/sem dono,0,C17031705,Amal Clooney,Doméstico de Pelo Curto,Preto,Gato,Fêmea,2017-06-21,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,4.083333333333333,Adulto
47701,2017-03-21 00:00:00,Não disponível,0,C17031708,Jordan,Doméstico de Pelo Médio,Marrom e Preto,Gato,Macho,2017-03-28,Transferência,,Animal de rua,,Falecido sob cuidados,0,0,0,4.583333333333334,Adulto
47703,2017-03-21 00:00:00,Abandonado,0,C17031710,Promise,Doméstico de Pelo Longo,Preto,Gato,Fêmea,2017-04-08,Lar temporário,2017-05-03,Animal de rua,,Falecido sob cuidados,0,0,0,2.6666666666666665,Jovem
47703,2017-03-21 00:00:00,Abandonado,0,C17031710,Promise,Doméstico de Pelo Longo,Preto,Gato,Fêmea,2017-05-03,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,2.6666666666666665,Jovem
47707,2017-03-22 00:00:00,Abandonado,0,C17031714,Benji,SRD,Preto,Gato,Macho,2017-04-06,Lar temporário,2017-05-10,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47707,2017-03-22 00:00:00,Abandonado,0,C17031714,Benji,SRD,Preto,Gato,Macho,2017-05-16,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47708,2017-03-22 00:00:00,Abandonado,0,C17031715,Simba,SRD,Preto,Gato,Macho,2017-04-06,Lar temporário,2017-05-11,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47708,2017-03-22 00:00:00,Abandonado,0,C17031715,Simba,SRD,Preto,Gato,Macho,2017-05-23,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
47730,2017-03-24 00:00:00,Abandonado,0,C17031737,Beemer,Doméstico de Pelo Curto,Laranja e Branco,Gato,Macho,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.0916666666666668,Jovem
47763,2017-03-28 00:00:00,Abandonado,0,C17031770,Robin,SRD,Preto,Gato,Fêmea,2017-04-08,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,8.666666666666668,Idoso
47767,2017-03-28 00:00:00,Abandonado,0,C17031774,Xavier,SRD,Marrom e Preto,Gato,Macho,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,6.166666666666667,Adulto
47768,2017-03-28 00:00:00,Abandonado,0,C17031775,Sapphire,Doméstico de Pelo Médio,Cinza,Gato,Fêmea,2017-04-02,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,4.5,Adulto
55297,2017-03-31 12:28:00,Proprietário falecido,0,C1703003,Batman,Doméstico de Pelo Curto,Preto e Branco,Gato,Macho,2017-04-07,Adoção,2017-05-22,Alergias,,Falecido sob cuidados,0,0,0,11.583333333333332,Idoso
55297,2017-03-31 12:28:00,Proprietário falecido,0,C1703003,Batman,Doméstico de Pelo Curto,Preto e Branco,Gato,Macho,2017-06-20,Adoção,2017-07-19,Incapacidade financeira,,Falecido sob cuidados,0,0,0,11.583333333333332,Idoso
55297,2017-03-31 12:28:00,Proprietário falecido,0,C1703003,Batman,Doméstico de Pelo Curto,Preto e Branco,Gato,Macho,2017-08-13,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,11.583333333333332,Idoso
55298,2017-03-31 13:03:28,Perdido/sem dono,0,C1703005,Marcus Antonius,Doméstico de Pelo Longo,Golden,Gato,Macho,2017-04-12,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.5833333333333335,Adulto
55299,2017-03-31 13:23:20,Perdido/sem dono,0,C17031780,Grasshopper,Doméstico de Pelo Curto,Escama de tartaruga,Gato,Fêmea,2017-04-07,Lar temporário,2017-04-21,Animal de rua,,Falecido sob cuidados,0,0,0,5.583333333333334,Adulto
55299,2017-03-31 13:23:20,Perdido/sem dono,0,C17031780,Grasshopper,Doméstico de Pelo Curto,Escama de tartaruga,Gato,Fêmea,2017-04-25,Lar temporário,2017-06-06,Animal de rua,,Falecido sob cuidados,0,0,0,5.583333333333334,Adulto
55299,2017-03-31 13:23:20,Perdido/sem dono,0,C17031780,Grasshopper,Doméstico de Pelo Curto,Escama de tartaruga,Gato,Fêmea,2017-07-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,5.583333333333334,Adulto
55300,2017-03-31 13:46:11,TNR - Captura/Castração/Liberação,0,C1703006,Jay Jay,Doméstico de Pelo Curto,Laranja,Gato,Macho,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,2.5833333333333335,Jovem
55301,2017-03-31 13:53:24,Perdido/sem dono,0,C1703007,Ginger Zee,Doméstico de Pelo Curto,Laranja,Gato,Fêmea,2017-04-07,Adoção,2018-02-27,Separação de casamento/relacionamento,,Falecido sob cuidados,0,0,0,3.166666666666667,Adulto
55301,2017-03-31 13:53:24,Perdido/sem dono,0,C1703007,Ginger Zee,Doméstico de Pelo Curto,Laranja,Gato,Fêmea,2018-03-02,Adoção,2018-12-28,Incompatível com outros animais,,Falecido sob cuidados,0,0,0,3.166666666666667,Adulto
55301,2017-03-31 13:53:24,Perdido/sem dono,0,C1703007,Ginger Zee,Doméstico de Pelo Curto,Laranja,Gato,Fêmea,2019-01-08,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.166666666666667,Adulto
55303,2017-03-31 13:56:27,Acomodação inadequada,0,C1703008,Binks,Doméstico de Pelo Curto,Preto,Gato,Macho,2017-04-27,Lar temporário,2017-07-10,Animal de rua,,Falecido sob cuidados,0,0,0,3.6666666666666665,Adulto
55303,2017-03-31 13:56:27,Acomodação inadequada,0,C1703008,Binks,Doméstico de Pelo Curto,Preto,Gato,Macho,2017-07-14,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.6666666666666665,Adulto
55336,2017-03-31 16:14:14,Perdido/sem dono,0,C1703050,Fuzz Ball,Doméstico de Pelo Longo,Laranja,Gato,Macho,2017-04-13,Adoção,2018-04-08,Incompatível com o estilo de vida do dono,,Falecido sob cuidados,0,0,0,4.091666666666667,Adulto
55336,2017-03-31 16:14:14,Perdido/sem dono,0,C1703050,Fuzz Ball,Doméstico de Pelo Longo,Laranja,Gato,Macho,2018-04-14,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,4.091666666666667,Adulto
55337,2017-03-29 16:26:02,Perdido/sem dono,0,C1703045,Sally,Doméstico de Pelo Curto,Tigrado,Gato,Fêmea,2017-04-09,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,4.0,Adulto
55352,2017-04-01 14:04:51,Incompatível com o estilo de vida do proprietário,0,C1704010,Dilenne,Doméstico de Pelo Longo,Marrom e Preto,Gato,Fêmea,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,8.75,Idoso
55354,2017-04-01 14:17:35,Incompatível com o estilo de vida do proprietário,0,C1704026,Winnie,Doméstico de Pelo Curto,Preto,Gato,Fêmea,2017-04-28,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,13.583333333333332,Idoso
55355,2017-04-02 13:08:54,Perdido/sem dono,0,C1704057,Ria,Doméstico de Pelo Longo,Escama de tartaruga,Gato,Fêmea,2017-04-03,Transferência,,Animal de rua,,Falecido sob cuidados,0,0,0,12.583333333333332,Idoso
55359,2017-04-03 09:57:36,Perdido/sem dono,0,C1704014,Sharu,Doméstico de Pelo Curto,Marrom e Preto,Gato,Fêmea,2017-04-28,Transferência,,Animal de rua,,Falecido sob cuidados,0,0,0,9.583333333333332,Idoso
55360,2017-04-03 12:16:19,Incapaz de arcar com custos,0,C1704027,Jinx,Doméstico de Pelo Curto,Escama de tartaruga,Gato,Fêmea,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,14.416666666666666,Idoso
55361,2017-04-03 13:16:48,Incompatível com o estilo de vida do proprietário,0,C1704028,Sweeny,SRD,Siamês,Gato,Fêmea,2017-04-18,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,6.583333333333334,Adulto
55366,2017-04-03 14:43:29,Incompatível com o estilo de vida do proprietário,0,C1704031,Rafe,Doméstico de Pelo Curto,Marrom e Preto,Gato,Macho,2017-04-07,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,2.6666666666666665,Jovem
55369,2017-04-03 15:31:36,Acomodação inadequada,0,C1704032,Mango,Doméstico de Pelo Curto,Laranja,Gato,Fêmea,2017-05-15,Transferência,,Animal de rua,,Falecido sob cuidados,0,0,0,11.583333333333332,Idoso
55370,2017-04-03 16:25:14,Abandonado,0,C1704062,Mindy,Calico,Tigrado e Calico,Gato,Fêmea,2017-04-04,Lar temporário,2017-04-15,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
55370,2017-04-03 16:25:14,Abandonado,0,C1704062,Mindy,Calico,Tigrado e Calico,Gato,Fêmea,2017-04-18,Lar temporário,2017-06-01,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
55370,2017-04-03 16:25:14,Abandonado,0,C1704062,Mindy,Calico,Tigrado e Calico,Gato,Fêmea,2017-06-06,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.6666666666666665,Jovem
55371,2017-04-03 16:30:55,Abandonado,0,C1704063,Ronan,Calico,Tigrado,Gato,Fêmea,2017-04-04,Lar temporário,2017-04-15,Animal de rua,2017-04-20,Falecido sob cuidados,0,0,0,0.057692307692307696,Filhote
55371,2017-04-03 16:30:55,Abandonado,0,C1704063,Ronan,Calico,Tigrado,Gato,Fêmea,2017-04-18,Lar temporário,2017-08-25,Animal de rua,2017-04-20,Falecido sob cuidados,0,0,0,0.057692307692307696,Filhote
55375,2017-04-04 12:02:47,Perdido/sem dono,0,C1704064,Nusan,Doméstico de Pelo Curto,Branco,Gato,Desconhecido,2017-04-17,Transferência,,Animal de rua,,Falecido sob cuidados,0,0,0,1.0916666666666668,Jovem
55376,2017-04-04 12:04:40,Proprietário falecido,0,C1704015,Athena,Doméstico de Pelo Curto,Preto e Branco,Gato,Fêmea,2017-04-05,Lar temporário,2017-06-06,Animal de rua,,Falecido sob cuidados,0,0,0,3.5833333333333335,Adulto
55376,2017-04-04 12:04:40,Proprietário falecido,0,C1704015,Athena,Doméstico de Pelo Curto,Preto e Branco,Gato,Fêmea,2017-08-31,Lar temporário,2017-09-29,Animal de rua,,Falecido sob cuidados,0,0,0,3.5833333333333335,Adulto
55376,2017-04-04 12:04:40,Proprietário falecido,0,C1704015,Athena,Doméstico de Pelo Curto,Preto e Branco,Gato,Fêmea,2017-12-01,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,3.5833333333333335,Adulto
55377,2017-04-04 12:04:40,Proprietário falecido,0,C1704016,Aphrodite,Doméstico de Pelo Curto,Creme,Gato,Fêmea,2017-04-05,Lar temporário,2017-05-30,Animal de rua,,Falecido sob cuidados,0,0,0,1.5833333333333335,Jovem
55377,2017-04-04 12:04:40,Proprietário falecido,0,C1704016,Aphrodite,Doméstico de Pelo Curto,Creme,Gato,Fêmea,2017-06-01,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.5833333333333335,Jovem
55378,2017-04-04 12:04:40,Proprietário falecido,0,C1704017,Artemis,Doméstico de Pelo Curto,Preto,Gato,Fêmea,2017-04-05,Lar temporário,2017-05-30,Animal de rua,,Falecido sob cuidados,0,0,0,1.5833333333333335,Jovem
55378,2017-04-04 12:04:40,Proprietário falecido,0,C1704017,Artemis,Doméstico de Pelo Curto,Preto,Gato,Fêmea,2017-06-02,Adoção,,Animal de rua,,Falecido sob cuidados,0,0,0,1.5833333333333335,Jovem
